epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,297.496,2.22442,3.6263,2.06453,0.01182,0.36806,0.0866,0.04364,1.88266,3.70746,1.8023,3e-05,3e-05,3e-05
2,750.359,2.01081,3.58307,1.88206,0.01117,0.38056,0.11418,0.06259,1.65163,3.65693,1.64942,6.8614e-05,6.8614e-05,6.8614e-05
3,1152.43,1.61816,3.37947,1.66954,0.01049,0.4287,0.14162,0.0765,1.64624,3.62205,1.65821,0.000105644,0.000105644,0.000105644
4,1435.99,1.48922,3.14434,1.53009,0.01603,0.6537,0.23588,0.11698,1.45822,3.46095,1.42769,0.00014109,0.00014109,0.00014109
5,1664.22,1.44348,2.8925,1.50197,0.0206,0.7287,0.25252,0.13547,1.30646,3.42106,1.33679,0.000174952,0.000174952,0.000174952
6,1871.63,1.43445,2.77353,1.48792,0.02721,0.83843,0.29036,0.19957,1.3008,3.35375,1.2968,0.00020723,0.00020723,0.00020723
7,2056.97,1.35884,2.55631,1.40811,0.0299,0.83843,0.39213,0.24995,1.18678,3.3439,1.26574,0.000237924,0.000237924,0.000237924
8,2178.41,1.3028,2.28063,1.41903,0.03513,0.92361,0.42507,0.22511,1.20542,3.29259,1.25677,0.000267034,0.000267034,0.000267034
9,2373.81,1.33491,2.1808,1.40586,0.63653,0.47917,0.42894,0.23795,1.22602,3.19771,1.26825,0.00029456,0.00029456,0.00029456
10,2591.6,1.34825,1.99796,1.43674,0.96634,0.11584,0.39655,0.20621,1.47366,3.14377,1.39017,0.000320502,0.000320502,0.000320502
11,2851.17,1.34299,1.86003,1.4439,0.91101,0.18682,0.42396,0.22325,1.52309,3.00764,1.41851,0.00034486,0.00034486,0.00034486
12,3120.24,1.29322,1.76255,1.42058,0.82508,0.25524,0.48327,0.26721,1.46483,2.9177,1.45256,0.000367634,0.000367634,0.000367634
13,3345.88,1.26777,1.62731,1.40447,0.75851,0.17177,0.37896,0.22535,1.5167,2.91384,1.54761,0.000388824,0.000388824,0.000388824
14,3620.37,1.31095,1.68366,1.41675,0.85,0.24121,0.43715,0.24298,1.45535,2.90119,1.51943,0.00040843,0.00040843,0.00040843
15,3859.66,1.22541,1.60335,1.38274,0.81244,0.27917,0.56571,0.3585,1.21341,2.68846,1.38199,0.000426452,0.000426452,0.000426452
16,4074.38,1.24905,1.51939,1.38179,0.801,0.27689,0.59234,0.40171,1.16123,2.59955,1.35405,0.00044289,0.00044289,0.00044289
17,4332.47,1.24285,1.43708,1.38262,0.83232,0.33228,0.67432,0.44141,1.17158,2.53365,1.36368,0.000457744,0.000457744,0.000457744
18,4503.58,1.23669,1.44512,1.3868,0.68755,0.3618,0.71956,0.39494,1.41433,2.38966,1.44656,0.000471014,0.000471014,0.000471014
19,4814.62,1.22334,1.39241,1.36248,0.72577,0.4411,0.76439,0.41086,1.39538,2.15562,1.44823,0.0004827,0.0004827,0.0004827
