epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.268,2.34635,4.03646,1.99137,0.00144,0.2,0.058,0.03606,2.46179,3.96485,2.31835,3e-05,3e-05,0.09703
2,45.4092,1.87229,3.69377,1.68275,0.00161,0.2,0.06633,0.03166,2.64103,4.00794,2.44796,6.99733e-05,6.99733e-05,0.09307
3,61.5109,1.92159,3.59908,1.68947,0.00258,0.33333,0.16717,0.05952,2.78633,3.95815,2.48915,0.000109832,0.000109832,0.0891098
4,78.5587,1.61359,3.38458,1.58075,0.00267,0.33333,0.16136,0.07586,2.53098,4.02967,2.20793,0.000149485,0.000149485,0.0851495
5,94.8175,1.63009,3.24282,1.66689,0.00265,0.33333,0.21426,0.09331,2.3003,4.00743,2.00589,0.000188842,0.000188842,0.0811888
6,111.811,1.62174,3.35701,1.59636,0.00327,0.4,0.1646,0.07647,2.21394,3.95946,1.88967,0.000227812,0.000227812,0.0772278
7,127.927,1.60112,3.16855,1.64069,0.00327,0.4,0.1646,0.07647,2.21394,3.95946,1.88967,0.000266307,0.000266307,0.0732663
8,145.71,1.64997,3.33649,1.60899,0.004,0.46667,0.17727,0.09128,2.12998,3.91962,1.88023,0.000304239,0.000304239,0.0693042
9,161.942,1.50691,3.01652,1.54099,0.00401,0.46667,0.18162,0.07818,2.04327,3.81847,2.01915,0.000341521,0.000341521,0.0653415
10,178.45,1.4804,3.07668,1.55562,0.00401,0.46667,0.18162,0.07818,2.04327,3.81847,2.01915,0.000378068,0.000378068,0.0613781
11,196.315,1.6953,3.15918,1.65449,0.00333,0.4,0.1718,0.03522,1.71777,3.7082,1.64486,0.000413798,0.000413798,0.0574138
12,213.734,1.43138,3.09665,1.53016,0.00333,0.4,0.1718,0.03522,1.71777,3.7082,1.64486,0.00044863,0.00044863,0.0534486
13,230.985,1.57195,2.96462,1.60552,0.03267,0.51667,0.19291,0.06567,1.81696,3.62027,1.69342,0.000482485,0.000482485,0.0494825
14,248.603,1.52577,3.00245,1.55417,0.03267,0.51667,0.19291,0.06567,1.81696,3.62027,1.69342,0.000515287,0.000515287,0.0455153
15,266.955,1.76404,3.26561,1.56228,0.01456,0.63333,0.10052,0.05276,1.89893,3.63313,1.73408,0.000546964,0.000546964,0.041547
16,284.858,1.47972,2.81283,1.54379,0.01456,0.63333,0.10052,0.05276,1.89893,3.63313,1.73408,0.000577444,0.000577444,0.0375774
17,302.649,1.55523,2.99748,1.58079,0.01456,0.63333,0.10052,0.05276,1.89893,3.63313,1.73408,0.00060666,0.00060666,0.0336067
18,320.314,1.46272,2.76493,1.47463,0.00864,0.56667,0.10048,0.05955,1.84784,3.54661,1.78448,0.00063455,0.00063455,0.0296345
19,337.565,1.54291,2.88794,1.58946,0.00864,0.56667,0.10048,0.05955,1.84784,3.54661,1.78448,0.000661051,0.000661051,0.0256611
20,354.935,1.75098,3.07249,1.63427,0.00864,0.56667,0.10048,0.05955,1.84784,3.54661,1.78448,0.000686107,0.000686107,0.0216861
21,372.209,1.53014,2.95409,1.52835,0.00864,0.56667,0.10048,0.05955,1.84784,3.54661,1.78448,0.000709665,0.000709665,0.0177097
22,389.551,1.69429,2.87746,1.54431,0.69018,0.26667,0.22706,0.08481,2.05859,3.49862,1.93619,0.000731676,0.000731676,0.0137317
23,408.725,1.49257,2.59678,1.39677,0.69018,0.26667,0.22706,0.08481,2.05859,3.49862,1.93619,0.000752094,0.000752094,0.00975209
24,427.835,1.59116,2.72032,1.70467,0.69018,0.26667,0.22706,0.08481,2.05859,3.49862,1.93619,0.000770879,0.000770879,0.00577088
25,445.963,1.41293,2.51041,1.48331,0.69018,0.26667,0.22706,0.08481,2.05859,3.49862,1.93619,0.000787994,0.000787994,0.00178799
