epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3293,2.44056,3.92304,1.959,0.01748,0.2,0.01796,0.00599,2.73263,4.12978,2.04483,0,0,0
2,53.5716,2.56003,3.9342,2.11246,0.01667,0.2,0.01763,0.00632,2.73798,4.10053,2.04,9.802e-06,9.802e-06,9.802e-06
3,110.443,2.48261,3.94199,2.05239,0.01396,0.2,0.01936,0.00725,2.71845,4.07817,2.03304,1.9208e-05,1.9208e-05,1.9208e-05
4,152.085,2.36028,3.97806,1.88678,0.01669,0.4,0.02616,0.00936,2.62199,4.07417,1.96422,2.8218e-05,2.8218e-05,2.8218e-05
5,187.38,2.48094,3.88048,2.01515,0.01763,0.46667,0.03247,0.01213,2.4766,4.05089,1.90216,3.6832e-05,3.6832e-05,3.6832e-05
6,210.399,2.43435,3.94305,1.9934,0.01546,0.46667,0.04421,0.01583,2.3315,4.02746,1.86008,4.505e-05,4.505e-05,4.505e-05
7,241.119,2.12222,3.83448,1.85538,0.01516,0.46667,0.05168,0.02212,2.14695,3.98983,1.80214,5.2872e-05,5.2872e-05,5.2872e-05
8,258.244,2.18324,3.93659,1.92085,0.01459,0.46667,0.06718,0.03831,1.99463,3.96945,1.72514,6.0298e-05,6.0298e-05,6.0298e-05
9,279.094,1.97012,3.73218,1.74659,0.01447,0.46667,0.09925,0.06026,1.91299,4.00214,1.71267,6.7328e-05,6.7328e-05,6.7328e-05
10,296.046,1.96313,3.72558,1.7414,0.01112,0.4,0.1186,0.07359,1.86992,4.01137,1.73875,7.3962e-05,7.3962e-05,7.3962e-05
11,315.013,1.92406,3.71422,1.7553,0.01079,0.4,0.15792,0.10187,1.93499,4.00716,1.76389,8.02e-05,8.02e-05,8.02e-05
12,338.81,1.63954,3.76175,1.54144,0.00812,0.33333,0.16099,0.08812,1.96555,4.0065,1.82231,8.6042e-05,8.6042e-05,8.6042e-05
13,353.338,1.78186,3.59961,1.64684,0.00908,0.4,0.1598,0.08863,1.91446,3.97587,1.87646,9.1488e-05,9.1488e-05,9.1488e-05
14,366.225,1.64709,3.71088,1.4872,0.00856,0.4,0.15624,0.0944,1.91728,3.92413,1.9194,9.6538e-05,9.6538e-05,9.6538e-05
15,380.227,1.51364,3.54294,1.47786,0.01196,0.55,0.16319,0.09092,1.85219,3.84325,1.8765,0.000101192,0.000101192,0.000101192
16,397.131,1.70717,3.53488,1.61944,0.01212,0.55,0.1751,0.09656,1.80982,3.78833,1.8075,0.00010545,0.00010545,0.00010545
17,412.154,1.5887,3.50232,1.51155,0.01391,0.61667,0.2144,0.13517,1.80048,3.78038,1.78452,0.000109312,0.000109312,0.000109312
18,431.325,1.59438,3.46712,1.47088,0.01391,0.61667,0.2144,0.13517,1.80048,3.78038,1.78452,0.000112778,0.000112778,0.000112778
19,455.965,1.53797,3.30598,1.44011,0.01311,0.61667,0.27465,0.17929,1.77275,3.729,1.70773,0.000115848,0.000115848,0.000115848
20,495.907,1.56947,3.37477,1.43485,0.01311,0.61667,0.27465,0.17929,1.77275,3.729,1.70773,0.000118522,0.000118522,0.000118522
21,543.222,1.47672,3.36734,1.4068,0.01282,0.61667,0.287,0.18735,1.67881,3.68308,1.64051,0.0001208,0.0001208,0.0001208
22,563.029,1.63187,3.34783,1.50802,0.01282,0.61667,0.287,0.18735,1.67881,3.68308,1.64051,0.000122682,0.000122682,0.000122682
23,580.507,1.52329,3.39965,1.41822,0.01244,0.61667,0.26959,0.17229,1.62978,3.68743,1.61901,0.000124168,0.000124168,0.000124168
24,598.999,1.60158,3.25285,1.47958,0.01244,0.61667,0.26959,0.17229,1.62978,3.68743,1.61901,0.000125258,0.000125258,0.000125258
25,620.13,1.3914,3.1148,1.38127,0.01491,0.71667,0.27411,0.16495,1.62164,3.67983,1.62371,0.000125952,0.000125952,0.000125952
26,647.151,1.37018,3.15862,1.34207,0.01491,0.71667,0.27411,0.16495,1.62164,3.67983,1.62371,0.00012625,0.00012625,0.00012625
27,671.43,1.34771,3.19551,1.32209,0.01469,0.71667,0.28077,0.17249,1.56647,3.64873,1.54619,0.000126152,0.000126152,0.000126152
28,692.878,1.56841,3.07992,1.42224,0.01469,0.71667,0.28077,0.17249,1.56647,3.64873,1.54619,0.000125658,0.000125658,0.000125658
29,709.614,1.39593,3.10037,1.36459,0.01417,0.71667,0.27744,0.1707,1.5695,3.63832,1.48932,0.000124768,0.000124768,0.000124768
30,723.361,1.33123,3.05907,1.31232,0.01417,0.71667,0.27744,0.1707,1.5695,3.63832,1.48932,0.000123482,0.000123482,0.000123482
31,737.306,1.31902,2.90009,1.33235,0.01217,0.61667,0.27413,0.17526,1.55885,3.62943,1.43226,0.0001218,0.0001218,0.0001218
32,751.012,1.33118,2.80703,1.36747,0.01217,0.61667,0.27413,0.17526,1.55885,3.62943,1.43226,0.000119722,0.000119722,0.000119722
