epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,482.348,2.71746,3.84509,2.39544,0.00198,0.24381,0.02138,0.0049,2.44132,3.91186,2.02382,3.333e-05,3.333e-05,3.333e-05
2,889.887,2.40357,3.72272,2.09033,0.00292,0.32952,0.02462,0.01096,2.22581,3.80602,1.8126,7.70001e-05,7.70001e-05,7.70001e-05
3,1272.37,1.91326,3.55042,1.75509,0.04049,0.56952,0.18534,0.08557,1.7921,3.5663,1.63416,0.00011979,0.00011979,0.00011979
4,1707.74,1.73407,3.44103,1.62283,0.0353,0.73048,0.19962,0.08423,1.9907,3.48618,1.76556,0.0001617,0.0001617,0.0001617
5,2056.73,1.6229,3.28625,1.55065,0.02665,0.61619,0.155,0.05034,2.18625,3.5128,1.74268,0.000202731,0.000202731,0.000202731
6,2448.76,1.55899,3.19604,1.50442,0.02422,0.6581,0.22808,0.09693,2.00345,3.45152,1.65959,0.000242881,0.000242881,0.000242881
7,2844.27,1.52617,3.06039,1.48841,0.0231,0.77143,0.30411,0.17412,1.74932,3.36416,1.65937,0.000282152,0.000282152,0.000282152
8,3174.99,1.57214,2.95271,1.50247,0.01835,0.78667,0.41189,0.19155,1.72301,3.39032,1.59239,0.000320542,0.000320542,0.000320542
9,3508.41,1.44855,2.71411,1.44291,0.05953,0.84286,0.48346,0.23557,1.43781,3.3659,1.37693,0.000358053,0.000358053,0.000358053
10,3843.48,1.52122,2.60949,1.47346,0.11601,0.98667,0.64818,0.2724,1.52757,3.33854,1.37763,0.000394684,0.000394684,0.000394684
11,4150.26,1.48472,2.31758,1.42512,0.08682,0.9581,0.67288,0.26867,1.70312,3.25843,1.51987,0.000430435,0.000430435,0.000430435
12,4512.58,1.45493,2.21663,1.45282,0.04368,0.97238,0.72897,0.29982,1.69001,3.24621,1.58035,0.000465306,0.000465306,0.000465306
13,4886.68,1.56334,2.14239,1.50231,0.02464,0.97238,0.61365,0.31476,1.61264,3.27505,1.51141,0.000499297,0.000499297,0.000499297
14,5265.08,1.50538,1.97322,1.44414,0.02071,0.9581,0.6234,0.33547,1.41612,3.22542,1.43891,0.000532408,0.000532408,0.000532408
15,5603.88,1.42031,1.86686,1.43257,0.84993,0.05333,0.72796,0.35292,1.48093,3.01537,1.46011,0.000564639,0.000564639,0.000564639
16,5962.74,1.53875,1.8956,1.49222,0.83963,0.05333,0.70722,0.39604,1.3061,2.93019,1.42607,0.00059599,0.00059599,0.00059599
17,6302.34,1.4587,1.77709,1.43132,0.83278,0.06973,0.55836,0.29499,1.37155,2.98732,1.50869,0.000626462,0.000626462,0.000626462
18,6618.17,1.45162,1.68075,1.41142,0.82015,0.23474,0.55645,0.29116,1.49168,2.97584,1.58689,0.000656053,0.000656053,0.000656053
19,7004.52,1.48242,1.62676,1.43551,0.81861,0.24229,0.48406,0.23631,1.49271,3.06247,1.57382,0.000684765,0.000684765,0.000684765
20,7343.85,1.46281,1.6227,1.39294,0.82054,0.31344,0.4736,0.20473,1.48767,3.09642,1.56312,0.000712597,0.000712597,0.000712597
21,7660.64,1.46246,1.55895,1.40811,0.83293,0.36606,0.52833,0.29081,1.40279,2.89099,1.52836,0.000739548,0.000739548,0.000739548
22,8046.11,1.36921,1.46489,1.38045,0.80743,0.36,0.55591,0.31955,1.32977,2.79958,1.46491,0.00076562,0.00076562,0.00076562
23,8389.72,1.42779,1.49041,1.41402,0.81068,0.3986,0.58768,0.30743,1.30038,2.83454,1.43367,0.000790812,0.000790812,0.000790812
24,8670.78,1.44454,1.56732,1.42308,0.80339,0.49274,0.57429,0.34188,1.21085,2.78506,1.46994,0.000815124,0.000815124,0.000815124
25,8968.98,1.46737,1.55099,1.41536,0.8038,0.51714,0.60905,0.33008,1.3218,2.9552,1.61723,0.000838556,0.000838556,0.000838556
26,9305.92,1.31983,1.34573,1.3456,0.80449,0.49845,0.63523,0.32993,1.57578,3.16038,1.78989,0.000836027,0.000836027,0.000836027
